# Signal Type: periodic
# Period: 526.049 days
# length: 500
# amplitude: 1.5
# baseline_error: 0.1
# time_start: 54682.0
# noise_level: 0.33748612119725613
# missing_rate: 0.009191697698851324
# period_days: 526.0494503045445
# Time	Value	Error
54682.0000	2.518469	0.133877
54712.0000	2.814045	0.129402
54742.0000	3.437637	0.169066
54772.0000	3.617425	0.187604
54802.0000	3.505135	0.171856
54832.0000	4.543777	0.221976
54862.0000	3.379722	0.176177
54892.0000	3.025987	0.156134
54922.0000	2.934174	0.160115
54952.0000	2.277303	0.111564
54982.0000	1.556517	0.077934
55012.0000	1.068963	0.050194
55042.0000	1.204431	0.062293
55072.0000	0.884685	0.044683
55102.0000	0.916238	0.047298
55132.0000	1.146470	0.051715
55162.0000	1.431167	0.076271
55192.0000	1.988724	0.101904
55222.0000	2.482883	0.117120
55252.0000	2.809260	0.151568
55282.0000	3.301960	0.161906
55312.0000	3.580237	0.173561
55342.0000	3.454382	0.176076
55372.0000	3.725358	0.170788
55402.0000	3.595106	0.197332
55432.0000	2.711866	0.135200
55462.0000	2.536825	0.136130
55492.0000	1.801420	0.090377
55522.0000	1.479422	0.072528
55552.0000	1.321842	0.068669
55582.0000	1.000231	0.050865
55612.0000	1.172557	0.057896
55642.0000	0.835849	0.039825
55672.0000	1.465252	0.074954
55702.0000	1.540267	0.076904
55732.0000	2.647679	0.137130
55762.0000	3.040418	0.145058
55792.0000	3.083023	0.142595
55822.0000	3.666927	0.175919
55852.0000	3.455898	0.180030
55882.0000	3.825104	0.201100
55912.0000	3.129388	0.159559
55942.0000	3.591578	0.192404
55972.0000	2.409087	0.121805
56002.0000	2.060610	0.102958
56032.0000	1.846702	0.092794
56062.0000	0.922741	0.043775
56092.0000	0.946762	0.050051
56122.0000	1.310867	0.074262
56152.0000	0.608209	0.031640
56182.0000	1.063724	0.053164
56212.0000	1.107788	0.056470
56242.0000	2.208142	0.107575
56272.0000	2.691883	0.150767
56302.0000	3.016576	0.155072
56332.0000	3.077938	0.150990
56362.0000	3.830611	0.180110
56392.0000	3.833162	0.189780
56422.0000	3.763358	0.189528
56452.0000	4.226317	0.216739
56482.0000	3.234862	0.156324
56512.0000	2.779395	0.136939
56542.0000	1.631737	0.084522
56572.0000	1.521503	0.082164
56602.0000	1.076353	0.052768
56632.0000	0.886687	0.044218
56662.0000	0.604909	0.028944
56692.0000	0.649109	0.033007
56722.0000	1.677919	0.080280
