# Signal Type: quasi-periodic
# Period: 1410.012 days
# length: 500
# amplitude: 1.5
# baseline_error: 0.1
# time_start: 54682.0
# noise_level: 0.27928866724793755
# freq_variation: 0.08235394292187692
# missing_rate: 0.008457112064243837
# period_days: 1410.011608424401
# Time	Value	Error
54682.0000	1.462100	0.074785
54712.0000	3.064372	0.151139
54742.0000	3.250295	0.167160
54772.0000	2.464227	0.132899
54802.0000	0.736622	0.036652
54832.0000	3.432794	0.191460
54862.0000	0.616225	0.029562
54892.0000	3.218466	0.165751
54922.0000	3.907309	0.192376
54952.0000	3.348194	0.161482
54982.0000	3.756609	0.188782
55012.0000	2.326428	0.105814
55042.0000	0.675617	0.035873
55072.0000	3.522343	0.184416
55102.0000	1.347657	0.069256
55132.0000	3.044339	0.167044
55162.0000	3.391451	0.156937
55192.0000	1.925045	0.098241
55222.0000	0.721317	0.037265
55252.0000	0.879623	0.042361
55282.0000	0.742356	0.041035
55312.0000	0.805527	0.040236
55342.0000	1.153180	0.060346
55372.0000	1.477760	0.073026
55402.0000	2.275879	0.104026
55432.0000	3.361717	0.162228
55462.0000	3.300837	0.165686
55492.0000	3.460413	0.177618
55522.0000	3.403377	0.161407
55552.0000	2.990016	0.160107
55582.0000	3.034584	0.147551
55612.0000	3.750715	0.178801
55642.0000	3.846556	0.206038
55672.0000	2.734786	0.132060
55702.0000	0.578507	0.030428
55732.0000	3.342651	0.180730
55762.0000	1.629589	0.071446
55792.0000	3.131537	0.162897
55822.0000	0.673660	0.033012
55852.0000	1.894037	0.097394
55882.0000	2.587431	0.126366
55912.0000	2.136438	0.110919
55942.0000	0.598592	0.029421
55972.0000	2.635354	0.136142
56002.0000	2.201960	0.101716
56032.0000	2.759879	0.136490
56062.0000	0.655328	0.034561
56092.0000	0.679063	0.031693
56122.0000	1.013187	0.047397
56152.0000	2.263795	0.114488
56182.0000	3.619724	0.186161
56212.0000		
56242.0000	1.906206	0.097007
56272.0000	3.737070	0.200953
56302.0000	3.804597	0.200692
56332.0000	2.671044	0.139362
56362.0000	0.716318	0.031591
56392.0000	4.079862	0.213234
56422.0000	0.687725	0.036585
56452.0000	3.278256	0.159899
56482.0000	3.291492	0.158310
56512.0000	3.355628	0.173817
56542.0000	3.668649	0.184121
56572.0000	3.616452	0.186479
56602.0000	1.824864	0.087735
56632.0000	1.646834	0.084800
56662.0000	2.869996	0.148278
56692.0000	1.532962	0.074664
56722.0000	2.069843	0.107221
56752.0000	3.662187	0.193188
56782.0000	1.343745	0.068780
56812.0000	1.011139	0.054963
56842.0000	2.683965	0.129061
56872.0000	3.743485	0.196336
56902.0000	2.792078	0.150035
56932.0000	1.351568	0.062654
56962.0000	0.684794	0.033485
56992.0000	1.390144	0.072086
57022.0000	3.542020	0.180854
57052.0000	3.000082	0.153593
57082.0000		
57112.0000	2.703587	0.128777
57142.0000	2.958416	0.149203
57172.0000	1.182934	0.061185
57202.0000	2.492809	0.126475
57232.0000	3.016657	0.142783
57262.0000	0.741501	0.034995
57292.0000	1.018318	0.054028
57322.0000	1.116257	0.055629
57352.0000	1.047837	0.050678
57382.0000	1.346199	0.074205
57412.0000	3.793308	0.198336
57442.0000	0.945473	0.050704
57472.0000	3.479359	0.185588
57502.0000	1.548918	0.075682
57532.0000	0.884931	0.042434
57562.0000	0.797753	0.041664
57592.0000	2.457154	0.126319
57622.0000	3.328008	0.155943
57652.0000	0.536762	0.028191
57682.0000	2.414996	0.123387
57712.0000	4.092396	0.216572
57742.0000	3.533153	0.180469
57772.0000	3.566533	0.173506
57802.0000	1.705008	0.089637
57832.0000	2.082392	0.096891
57862.0000	2.433149	0.117327
57892.0000	3.675831	0.195390
57922.0000		
57952.0000	2.512469	0.142463
57982.0000	3.323442	0.162712
58012.0000	3.373458	0.172724
58042.0000	1.034629	0.053875
58072.0000	2.992008	0.149119
58102.0000	1.167844	0.056432
58132.0000	3.413730	0.183649
58162.0000	1.966360	0.098275
58192.0000	0.806089	0.041144
58222.0000	0.942282	0.049598
58252.0000	1.181668	0.058185
58282.0000	2.066911	0.104764
58312.0000	1.267788	0.062402
58342.0000	0.841103	0.039945
58372.0000	0.563718	0.032405
58402.0000	1.296896	0.063759
58432.0000	2.056997	0.109565
58462.0000	2.972899	0.139722
58492.0000	3.259866	0.163585
58522.0000	3.947264	0.184366
58552.0000	3.616681	0.181928
58582.0000	3.790421	0.190482
58612.0000	3.251174	0.157224
58642.0000		
58672.0000	1.435999	0.073137
58702.0000	1.401635	0.072708
58732.0000	3.596355	0.189344
58762.0000	0.574214	0.030194
58792.0000	3.675304	0.189561
58822.0000	1.792750	0.086990
58852.0000	0.419526	0.020789
58882.0000	1.302104	0.064732
58912.0000	0.849277	0.040796
58942.0000	1.227217	0.061108
58972.0000	3.621527	0.188150
59002.0000	1.325801	0.069551
59032.0000	3.466212	0.171258
59062.0000	2.242210	0.114449
59092.0000	1.267516	0.064623
59122.0000	1.518981	0.077202
59152.0000	3.466019	0.169754
59182.0000	2.504639	0.129173
59212.0000	2.327076	0.126168
59242.0000	1.031262	0.053788
59272.0000	2.365480	0.117515
59302.0000	2.309751	0.110449
59332.0000	1.305257	0.071686
59362.0000	1.186973	0.062842
59392.0000	3.382141	0.169527
59422.0000	1.334394	0.073898
59452.0000	2.061095	0.100574
59482.0000	3.685678	0.178261
59512.0000	3.445532	0.156198
59542.0000	3.207274	0.171907
59572.0000	2.252775	0.106969
59602.0000	0.777825	0.038765
59632.0000	3.125649	0.172376
59662.0000	1.523469	0.075981
59692.0000	3.269354	0.165852
59722.0000	0.792395	0.039256
59752.0000	3.422628	0.148104
59782.0000	2.877101	0.129672
59812.0000	1.257638	0.059774
59842.0000	1.351781	0.062767
59872.0000	2.829040	0.142361
59902.0000	3.620864	0.166831
59932.0000	2.867613	0.133375
59962.0000	1.288837	0.059948
59992.0000	0.474821	0.022730
