# Signal Type: random
# length: 500
# amplitude: 1.5
# baseline_error: 0.1
# time_start: 54682.0
# noise_level: 0.2426315011161117
# missing_rate: 0.007350646804513424
# Time	Value	Error
54682.0000	0.635899	0.032150
54712.0000	1.634663	0.081870
54742.0000	1.090972	0.049344
54772.0000	1.215305	0.057672
54802.0000	1.332627	0.062191
54832.0000	0.765547	0.037568
54862.0000	0.556904	0.030398
54892.0000	0.539045	0.027100
54922.0000	1.375953	0.065748
54952.0000	1.621342	0.078355
54982.0000	0.272442	0.013639
55012.0000	0.436673	0.023110
55042.0000	0.168853	0.008568
55072.0000	1.551932	0.075904
55102.0000	0.898273	0.044607
55132.0000	2.517756	0.122859
55162.0000	1.012526	0.048425
55192.0000	1.657627	0.084441
55222.0000	3.352444	0.172057
55252.0000	0.769786	0.038524
55282.0000	0.738045	0.037730
55312.0000	2.865421	0.145757
55342.0000	2.065145	0.100218
55372.0000	0.888501	0.041205
55402.0000	1.676257	0.084412
55432.0000	2.040911	0.104515
55462.0000	1.404850	0.068307
55492.0000	0.970820	0.046186
55522.0000	0.769255	0.039429
55552.0000	0.736224	0.037727
55582.0000	0.801069	0.039089
55612.0000	0.338157	0.015956
55642.0000	0.767143	0.037685
55672.0000	0.479969	0.023572
55702.0000	0.202595	0.010253
55732.0000	4.256882	0.210070
55762.0000	0.405400	0.019631
55792.0000	3.380368	0.167879
55822.0000	0.727029	0.035719
55852.0000	0.415658	0.018163
55882.0000	0.981290	0.049956
55912.0000	1.592705	0.073056
55942.0000	1.290864	0.067239
55972.0000	0.258659	0.012492
56002.0000	1.940042	0.097659
56032.0000	0.634161	0.033635
56062.0000	1.562031	0.077320
56092.0000	0.243597	0.011911
56122.0000	2.542086	0.127870
56152.0000	0.199024	0.009564
56182.0000	0.328318	0.015464
56212.0000	0.492258	0.024449
56242.0000	0.290375	0.015123
56272.0000	0.237824	0.012533
56302.0000	0.536818	0.028709
56332.0000	1.872672	0.094516
56362.0000	0.829354	0.036751
